Whisky Name,Link,Tags,Nose Score,Nose Comment,Taste Score,Taste Comment,Finish Score,Finish Comment,document_text
Port Ellen1969 GM,https://www.whiskybase.com/whiskies/whisky/19171/port-ellen-1969-gm,"Oily,Sandy",,"Opens on a big fruity, surprising for a Port Ellen, with a lot of citrus fruits (orange, lemon, grapefruit) and some exotic fruits (passion fruits). Then indented, we feel a rather fine peat, an iodized side and a medicinal side (camphor). When we add water we lose the fruity side and the whisky becomes more austere, more peaty and medicinal with tar, as if we were going from an old Bowmore to an Ardbeg.",,"Huge power but never be burning, a drop is enough to line the entire palace. Very complex, always fruity that makes it very easy to drink mixed with a marine side with peat and still camphor.",,"Endless final. The empty glass remains fruity but a little more candied, with a little chocolate and almonds after several hours, the peat evaporates slowly.","위스키 이름: Port Ellen1969 GM
태그: Oily,Sandy

향(Nose): Opens on a big fruity, surprising for a Port Ellen, with a lot of citrus fruits (orange, lemon, grapefruit) and some exotic fruits (passion fruits). Then indented, we feel a rather fine peat, an iodized side and a medicinal side (camphor). When we add water we lose the fruity side and the whisky becomes more austere, more peaty and medicinal with tar, as if we were going from an old Bowmore to an Ardbeg.

맛(Taste): Huge power but never be burning, a drop is enough to line the entire palace. Very complex, always fruity that makes it very easy to drink mixed with a marine side with peat and still camphor.

피니쉬(Finish): Endless final. The empty glass remains fruity but a little more candied, with a little chocolate and almonds after several hours, the peat evaporates slowly."
Macallan1952 80 proof,https://www.whiskybase.com/whiskies/whisky/17255/macallan-1952-80-proof,"Chocolate,Dried Fruit,Sherried,Husky,Toasted,Tobacco",85.0,"A powerful and dare I say it prickly nose considering it is only 80 proof.\nFrom the off this smells old, certainly older than 15 years and the smell of sherry is one of those dark/red fruits mixed fruit jams.\nAs the minutes tick by a burnt fruit cake smell emerges, like an overdone scone with burnt currants?\nThere is also something meaty, like burnt sausages, weird, never had anything like that before nosing any whisky\nIt is a burnt note for sure.\nThe jury is out, I will come back to it\nI am not a fan of this nose., burnt cake or burnt meat is the overriding impression I get, probably a burnt fruit cake.",96.0,"No burnt notes on the palate thankfully just a creamy, fruity, palate.\nThere is some spice, dark & red fruits but also a mixed fruit trifle note, there is a sweeter layer coming through, like brioche.\nI cannot fault this., everything about the palate reeks of quality, great balance",94.0,Spicy on the finish remaining fruity and a little creamy,"위스키 이름: Macallan1952 80 proof
태그: Chocolate,Dried Fruit,Sherried,Husky,Toasted,Tobacco

향(Nose) [점수: 85.0]: A powerful and dare I say it prickly nose considering it is only 80 proof.\nFrom the off this smells old, certainly older than 15 years and the smell of sherry is one of those dark/red fruits mixed fruit jams.\nAs the minutes tick by a burnt fruit cake smell emerges, like an overdone scone with burnt currants?\nThere is also something meaty, like burnt sausages, weird, never had anything like that before nosing any whisky\nIt is a burnt note for sure.\nThe jury is out, I will come back to it\nI am not a fan of this nose., burnt cake or burnt meat is the overriding impression I get, probably a burnt fruit cake.

맛(Taste) [점수: 96.0]: No burnt notes on the palate thankfully just a creamy, fruity, palate.\nThere is some spice, dark & red fruits but also a mixed fruit trifle note, there is a sweeter layer coming through, like brioche.\nI cannot fault this., everything about the palate reeks of quality, great balance

피니쉬(Finish) [점수: 94.0]: Spicy on the finish remaining fruity and a little creamy"
Springbank1969 SV,https://www.whiskybase.com/whiskies/whisky/15778/springbank-1969-sv,"Citric,Mossy,Cooked Fruit,Cooked Mash,Fresh Fruit,Kippery,Leafy,Leathery,Old Wood,Sandy",96.0,"Extremely creamy. Crême brûlée, coconut, cantaloupe melon, apricot, honey, candied orange and apple. Then banana. Water blurs all those different aromas a bit.",95.0,"Coconut, apricot jam, honey, vanilla, leather, apple, orange zest, peat, caramel, granidine syrup, litchi, baked banana and marzipan.",95.0,"Vanilla pudding, apricot, honey, coconut, caramel, almond and oak.","위스키 이름: Springbank1969 SV
태그: Citric,Mossy,Cooked Fruit,Cooked Mash,Fresh Fruit,Kippery,Leafy,Leathery,Old Wood,Sandy

향(Nose) [점수: 96.0]: Extremely creamy. Crême brûlée, coconut, cantaloupe melon, apricot, honey, candied orange and apple. Then banana. Water blurs all those different aromas a bit.

맛(Taste) [점수: 95.0]: Coconut, apricot jam, honey, vanilla, leather, apple, orange zest, peat, caramel, granidine syrup, litchi, baked banana and marzipan.

피니쉬(Finish) [점수: 95.0]: Vanilla pudding, apricot, honey, coconut, caramel, almond and oak."
Glen Cawdor1964 RWD,https://www.whiskybase.com/whiskies/whisky/32205/glen-cawdor-1964-rwd,,96.0,"Tobacco, cigars, soot, acacia honey, fine sherry wood, spices, cloves, nutmeg, some dried fruits, dates, figs, brown sugar, hints of toasted bread, whiffs of old books - superb!",95.0,"Punchy, oily, liquorice, nutty, good sweetness, more dried fruits, also plums, prune, dark chocolate, molasses, spices, hints of herbs too, more sherry wood - excellent!",93.0,"Long, warm, just little tannic, there is really just a little soapy touch","위스키 이름: Glen Cawdor1964 RWD

향(Nose) [점수: 96.0]: Tobacco, cigars, soot, acacia honey, fine sherry wood, spices, cloves, nutmeg, some dried fruits, dates, figs, brown sugar, hints of toasted bread, whiffs of old books - superb!

맛(Taste) [점수: 95.0]: Punchy, oily, liquorice, nutty, good sweetness, more dried fruits, also plums, prune, dark chocolate, molasses, spices, hints of herbs too, more sherry wood - excellent!

피니쉬(Finish) [점수: 93.0]: Long, warm, just little tannic, there is really just a little soapy touch"
Springbank1963 CA,https://www.whiskybase.com/whiskies/whisky/11235/springbank-1963-ca,"Dried Fruit,Oily,Old Wood,Tobacco",97.0,"The nose is ultra concentrated. It's superb because it's also not overpowered, nor disgusting as it can sometimes be on really big Sherry Casks.\nIt's fat above all, full of leather, shoe polish, molasses, dark chocolate, liquorice.\nWe have a superb rancio which recalls the best Cognacs.\nAnd also this molasses which recalls the best Demerara.\nThe best of three worlds?\nWe have an intense blackberry, redcurrant and blackcurrant jam. It's stewed, in its copper cauldron, and filled with sugar.\nReally fantastic.\nWe continue with herbaceous peat, smoke, gentian, Kâmpôt pepper and an assortment of old precious woods and small wild berries.\nWith a lot of ventilation, we also have a delicate camphor that is revealed.\nOne of the most beautiful noses I have ever seen.",97.0,"In the mouth, it is the molasses that opens the ball. We really have the impression of drinking a Demerara.\nLeather, shoe polish, caramelized sugar, cocoa, 90% dark chocolate, freshly ground coffee, liquorice, herbal liqueur.\nA concentrated and explosive cocktail.\nThe fruit is not to be outdone. We always have the jam on the nose, but also some tropical fruits. Mango, papaya, passion fruit, and a big dose of orange.\nThe peat is oily, with charcoal, light smoke and meaty aromas.",96.0,"The finish is long (not surprisingly), in the continuity of the mouth, on leather, smoke, barbecue, grilled meat, liquorice, gentian, molasses, orange zest and sugar.","위스키 이름: Springbank1963 CA
태그: Dried Fruit,Oily,Old Wood,Tobacco

향(Nose) [점수: 97.0]: The nose is ultra concentrated. It's superb because it's also not overpowered, nor disgusting as it can sometimes be on really big Sherry Casks.\nIt's fat above all, full of leather, shoe polish, molasses, dark chocolate, liquorice.\nWe have a superb rancio which recalls the best Cognacs.\nAnd also this molasses which recalls the best Demerara.\nThe best of three worlds?\nWe have an intense blackberry, redcurrant and blackcurrant jam. It's stewed, in its copper cauldron, and filled with sugar.\nReally fantastic.\nWe continue with herbaceous peat, smoke, gentian, Kâmpôt pepper and an assortment of old precious woods and small wild berries.\nWith a lot of ventilation, we also have a delicate camphor that is revealed.\nOne of the most beautiful noses I have ever seen.

맛(Taste) [점수: 97.0]: In the mouth, it is the molasses that opens the ball. We really have the impression of drinking a Demerara.\nLeather, shoe polish, caramelized sugar, cocoa, 90% dark chocolate, freshly ground coffee, liquorice, herbal liqueur.\nA concentrated and explosive cocktail.\nThe fruit is not to be outdone. We always have the jam on the nose, but also some tropical fruits. Mango, papaya, passion fruit, and a big dose of orange.\nThe peat is oily, with charcoal, light smoke and meaty aromas.

피니쉬(Finish) [점수: 96.0]: The finish is long (not surprisingly), in the continuity of the mouth, on leather, smoke, barbecue, grilled meat, liquorice, gentian, molasses, orange zest and sugar."
Glen Garioch1971 Sa,https://www.whiskybase.com/whiskies/whisky/12513/glen-garioch-1971-sa,Citric,,"What a beautiful nose is this! Surprisingly starting with some gentle floral notes (had expected heavy sherry) followed with dark fruit of black current, raspberry and prunes. Leather arm chairs from a Chesterfield couch. Cigar boxes. Gentle woody notes of cedar. Whiff of smoke. Roasted almonds at the background. One of the most complex noses I've ever had",,"Now lots of sherry and plum notes intermingled with the best dark chocolate there is. Dried fruits of figs and dates. Raisins. Mocha coffee and balsamico as well. Pipe tobacco which my grandfather used to smoke. The peat in the palate is more detectable than in the nose. Actually this is multi-layered whisky with every time new flavours coming through including cured ham, truffle, cloves and caraway.",,Endless with hints of cinnamon and nutmeg. A little pepper. Unbelievable complex for a 8 years old whisky. That shows that age doesn't always matter.,"위스키 이름: Glen Garioch1971 Sa
태그: Citric

향(Nose): What a beautiful nose is this! Surprisingly starting with some gentle floral notes (had expected heavy sherry) followed with dark fruit of black current, raspberry and prunes. Leather arm chairs from a Chesterfield couch. Cigar boxes. Gentle woody notes of cedar. Whiff of smoke. Roasted almonds at the background. One of the most complex noses I've ever had

맛(Taste): Now lots of sherry and plum notes intermingled with the best dark chocolate there is. Dried fruits of figs and dates. Raisins. Mocha coffee and balsamico as well. Pipe tobacco which my grandfather used to smoke. The peat in the palate is more detectable than in the nose. Actually this is multi-layered whisky with every time new flavours coming through including cured ham, truffle, cloves and caraway.

피니쉬(Finish): Endless with hints of cinnamon and nutmeg. A little pepper. Unbelievable complex for a 8 years old whisky. That shows that age doesn't always matter."
Ardbeg1976,https://www.whiskybase.com/whiskies/whisky/1434/ardbeg-1976,,,"Initially very compact and restrained, it opens up with a lot of time and a little warmth, dark but slightly sour and moist, damp autumn leaves, slightly wet, old oak, fresh chestnut, plum, later also dates, saffron, truffle, black bread, pine nuts, black Walnut, mocha, myrrh",,"Old tobacco in its pure form at the beginning, wow, intense and smoky, not so expected from the nose and the% are perfect! Roasted chestnuts, saffron, fennel tea, rye bread, charcoal, ginger, cardamom, beautiful malt, myrrh, thyme, nutmeg, allspice, ancient leather",,"Cardamom, ginger, malt, tobacco, charcoal, saffron, oak, long, myrrh","위스키 이름: Ardbeg1976

향(Nose): Initially very compact and restrained, it opens up with a lot of time and a little warmth, dark but slightly sour and moist, damp autumn leaves, slightly wet, old oak, fresh chestnut, plum, later also dates, saffron, truffle, black bread, pine nuts, black Walnut, mocha, myrrh

맛(Taste): Old tobacco in its pure form at the beginning, wow, intense and smoky, not so expected from the nose and the% are perfect! Roasted chestnuts, saffron, fennel tea, rye bread, charcoal, ginger, cardamom, beautiful malt, myrrh, thyme, nutmeg, allspice, ancient leather

피니쉬(Finish): Cardamom, ginger, malt, tobacco, charcoal, saffron, oak, long, myrrh"
Springbank1972,https://www.whiskybase.com/whiskies/whisky/14492/springbank-1972,,,"Very fresh, rich, complex, fruity, citrus fruits, tropical fruits, some dried fruits, little wood and toffee, honey - Huge!",,"Wow, what a blast! - so punchy and powerful, it's a full fruit basket, with oranges, passion fruits, pineapples, prunes, raisins, and so on. There is a great balance between fine wood notes, a subtle sweetness and really faint touches of leather. Excellent!",,"Long and burning, there are coming our more and more different aromas, more woody notes in the end, Superb!","위스키 이름: Springbank1972

향(Nose): Very fresh, rich, complex, fruity, citrus fruits, tropical fruits, some dried fruits, little wood and toffee, honey - Huge!

맛(Taste): Wow, what a blast! - so punchy and powerful, it's a full fruit basket, with oranges, passion fruits, pineapples, prunes, raisins, and so on. There is a great balance between fine wood notes, a subtle sweetness and really faint touches of leather. Excellent!

피니쉬(Finish): Long and burning, there are coming our more and more different aromas, more woody notes in the end, Superb!"
Ardbeg1972,https://www.whiskybase.com/whiskies/whisky/889/ardbeg-1972,,,"Creamy vanilla. Citrus; Lime, lemons and tangerines. Floral. Soft sour smoke. Iodine. Woodnotes, pencilshaves.",,"Full body. Oily. Oranges, lime and lemon. Creamy butterfudge. Spicy. Soft peat and dry smoke.",,Long and peaty. Tar. Very coating,"위스키 이름: Ardbeg1972

향(Nose): Creamy vanilla. Citrus; Lime, lemons and tangerines. Floral. Soft sour smoke. Iodine. Woodnotes, pencilshaves.

맛(Taste): Full body. Oily. Oranges, lime and lemon. Creamy butterfudge. Spicy. Soft peat and dry smoke.

피니쉬(Finish): Long and peaty. Tar. Very coating"
Highland Park1955 It,https://www.whiskybase.com/whiskies/whisky/61081/highland-park-1955-it,,93.0,"I can only describe this as a really nice nose. Rich fudge, toffee, it is almost like some old cognac is in the mix?\nRum & raisin ice cream, rich biscuit, hints of shoe polish.",91.0,Immediately there is a blast of peat and massive spice kick that almost burns your throat.\nThere is also a very slight woody bitterness but there is also a little orange in the mix.\nIt gains a lovely sweetness on the 2nd sip with hints of honeycomb with various exotic fruits coming to the fore.\nThis actually tastes old.,92.0,"Finish, long and quite sweet.\nWith Water:-\nNose\nEven better than neat, very refined .\nPalate\nJust about perfect but it has lost a little fruit.\nThere is some fruit gums flavours mixing with the spice\nFinish.\nNot as long now, but very refined and remaining fruity until the end","위스키 이름: Highland Park1955 It

향(Nose) [점수: 93.0]: I can only describe this as a really nice nose. Rich fudge, toffee, it is almost like some old cognac is in the mix?\nRum & raisin ice cream, rich biscuit, hints of shoe polish.

맛(Taste) [점수: 91.0]: Immediately there is a blast of peat and massive spice kick that almost burns your throat.\nThere is also a very slight woody bitterness but there is also a little orange in the mix.\nIt gains a lovely sweetness on the 2nd sip with hints of honeycomb with various exotic fruits coming to the fore.\nThis actually tastes old.

피니쉬(Finish) [점수: 92.0]: Finish, long and quite sweet.\nWith Water:-\nNose\nEven better than neat, very refined .\nPalate\nJust about perfect but it has lost a little fruit.\nThere is some fruit gums flavours mixing with the spice\nFinish.\nNot as long now, but very refined and remaining fruity until the end"
Ardbeg1972,https://www.whiskybase.com/whiskies/whisky/1295/ardbeg-1972,,,"Pure, unadulterated, old, funky, meaty, greasy, fatty, phenolic, juicy, sweet, and fruity Ardbeg. Immense earthy, aromatic, thick, slightly herbal, and grassy peat smoke. Nothing like the smoke of modern Ardbeg, this smells like it's from a different world. Tar, charcoal, fishing nets, sea salt, smoked kippers, smoked honey, smoked beeswax, smoked lemon juice, ocean brine, organic apple cider, star anise, even some ripe cherries and slightly medicinal character to it",,"Some dirtiness to it and extremely oily. More super high quality organic apple cider, fresh squeezed limes, ripe lemon zest, beautiful sweetgrass and toffee peat candy, cherry infused liquorice, smoked almonds, engine oil or petrol fuel, even vanilla cream and honey, orange peels...",,"Super long, tons of herbal aromatics, pine resin, fir and pine liqueur, salted limes, salted honey, salted and smoked pork belly, more orange and lemon zest, touches of limestone, peat candy and sweetgrass or sandalwood, pine logs in a cabin in the winter waiting to be out on the fire, lemony ashes, super long","위스키 이름: Ardbeg1972

향(Nose): Pure, unadulterated, old, funky, meaty, greasy, fatty, phenolic, juicy, sweet, and fruity Ardbeg. Immense earthy, aromatic, thick, slightly herbal, and grassy peat smoke. Nothing like the smoke of modern Ardbeg, this smells like it's from a different world. Tar, charcoal, fishing nets, sea salt, smoked kippers, smoked honey, smoked beeswax, smoked lemon juice, ocean brine, organic apple cider, star anise, even some ripe cherries and slightly medicinal character to it

맛(Taste): Some dirtiness to it and extremely oily. More super high quality organic apple cider, fresh squeezed limes, ripe lemon zest, beautiful sweetgrass and toffee peat candy, cherry infused liquorice, smoked almonds, engine oil or petrol fuel, even vanilla cream and honey, orange peels...

피니쉬(Finish): Super long, tons of herbal aromatics, pine resin, fir and pine liqueur, salted limes, salted honey, salted and smoked pork belly, more orange and lemon zest, touches of limestone, peat candy and sweetgrass or sandalwood, pine logs in a cabin in the winter waiting to be out on the fire, lemony ashes, super long"
